,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
6679,co,cajamarca,4.441724,-75.426783,75.51,61,75,8.05
26550,pa,santa rita arriba,9.337777800000001,-79.78,86.05,70,40,8.05
649,at,koflach,47.066666999999995,15.083332999999998,78.64,51,20,8.05
19666,in,udayagiri,20.133333,84.383333,73.63,88,100,2.53
8600,de,bitterfeld,51.616667,12.316667,90,24,0,6.93
34356,ro,stiuca,45.571389,21.976667000000003,78.8,44,0,10.29
33459,ro,macea,46.383333,21.3,78.8,50,0,6.93
7206,co,puerto lleras,3.022247,-73.404402,80.65,88,40,1.01
30332,ph,tagburos,9.8279,118.743,82.81,76,100,12.64
29650,ph,rimos,16.8764,120.3966,79.03,85,100,4.79
41228,ua,chornobay,49.670790999999994,32.32387,64.81,85,57,7.47
3904,br,santo antonio de jesus,-12.966667,-39.266667,78.67,57,0,12.03
42702,us,east hampton,41.5758333,-72.5030556,79.72,44,20,4.7
5530,ch,volketswil,47.389983,8.691548,88.36,15,76,1.99
43117,us,saint marys,30.7302778,-81.5466667,78.1,74,75,9.17
37600,ru,pervomayskiy,51.5367,55.00464300000001,69.8,56,0,8.95
7102,co,nechi,8.094189,-74.775733,89.65,55,61,4.03
482,ar,cordoba,-31.413496000000002,-64.18105200000001,53.51,66,75,6.93
19585,in,tezpur,26.633333,92.8,79.21,86,100,3.42
28587,ph,lasam,18.065185999999997,121.600651,74.53,96,100,1.92
21413,jp,izumiotsu,34.5,135.4,76.78,94,67,3.36
18493,in,maihar,24.266667,80.75,79.57,83,91,8.25
41413,ua,kryva,48.172339,23.236473,72.95,69,32,2.24
9842,de,wernigerode,51.833333,10.783333,91.96,28,0,8.05
18169,in,kasimbazar,24.116667,88.283333,78.67,88,100,5.64
36332,ru,kidero,42.193699,45.95882,48.07,89,17,5.19
31008,pk,wah,33.797995,72.69570300000001,85.15,70,75,19.46
61,af,taloqan,36.734133,69.533559,86.23,18,0,5.06
22922,mk,struga,41.17805560000001,20.6761111,77,38,40,5.82
11154,et,dilla,6.4166669999999995,38.316666999999995,72.19,74,100,1.45
32890,ro,densus,45.583333,22.8,61.21,87,25,1.68
45074,us,north canton,40.8758333,-81.4025,73.53,50,40,9.17
12129,fr,vandoeuvre-les-nancy,48.662127000000005,6.178281,99.37,24,0,5.82
32051,re,sainte-marie,-20.8833333,55.55,64.53,64,0,16.11
8456,de,altensteig,48.583333,8.6,93.74,34,0,2.24
33149,ro,giulvaz,45.548889,20.984444,79.72,44,0,10.29
17632,in,dungarpur,23.833333,73.716667,82.81,76,100,12.59
2534,br,brejo da madre de deus,-8.15,-36.366667,76.87,58,80,14.43
22240,kz,zyryanovsk,49.738611,84.27194399999999,48.97,89,100,4.25
6434,cn,xinyang,32.095833,114.120278,79.03,90,17,7.29
7716,cu,jobabo,20.9691667,-76.2994444,91.4,52,40,6.93
45414,us,vega baja,18.4463889,-66.3880556,89.04,70,40,11.41
21040,it,tempio pausania,40.9,9.1,92.79,49,0,9.17
32207,ro,balaciu,44.633333,26.883333,77.4,50,20,4.7
19165,in,ranaghat,23.183332999999998,88.583333,80.6,88,75,3.36
31469,pt,alhadas,40.186071999999996,-8.790567999999999,78.6,73,0,9.17
38294,ru,sovetsk,57.5182,49.1222,61.57,81,13,2.39
40059,td,moissala,8.35,17.7666667,77.95,77,82,2.53
6903,co,guaca,6.876208999999999,-72.85594,75.2,78,40,8.05
4025,br,sao tome,-5.971389,-36.073611,83.17,52,80,13.33
9236,de,lubbecke,52.3,8.616667,94.93,28,20,6.93
25218,ne,tillabery,14.211666699999999,1.4530556000000001,96.49,32,38,4.05
23673,mx,cosolapa,18.608333,-96.675,65.35,85,84,5.1
6409,cn,xianyang,34.33778,108.70261,77,83,0,2.24
9111,de,kirchheim,48.65,9.45,91.06,30,0,8.05
38538,ru,terney,45.050278000000006,136.60916699999999,55.81,98,100,6.29
38597,ru,troitskoye,52.9821,84.6757,57.61,97,100,2.17
42318,us,foothill farms,38.6763889,-121.3352778,86.32,30,1,3.36
45346,us,aibonito,18.1419444,-66.2663889,89.01,62,20,19.46
23300,mx,acuitzio,19.483333,-101.333333,69.8,64,75,5.82
4492,ca,caledon east,43.866667,-79.866667,77.45,41,75,5.82
28184,ph,gang,7.245833,124.26638899999999,79.39,76,100,2.93
31882,py,alto vera,-26.583333000000003,-55.63333299999999,63.01,85,100,2.73
27109,ph,ayusan,14.016667000000002,121.4,81.12,78,40,4.7
40011,sz,bhunya,-26.55,31.016666700000002,57.2,71,0,10.29
39732,sl,blama,7.873611099999999,-11.343333300000001,78.49,81,87,3.24
25634,nl,oirschot,51.50343,5.308304,92.17,36,20,6.93
22029,ke,moyale,3.5163888999999995,39.069166700000004,74.35,48,79,7.47
25751,nl,zundert,51.469444,4.658109,89.13,40,90,11.41
32630,ro,chetani,46.466667,24.033333,74.03,60,20,6.93
8116,cz,milovice,50.228034,14.889739000000002,87.89,27,0,6.93
42277,us,cudahy,33.960555600000006,-118.18444440000002,86.58,45,1,5.91
29282,ph,ogod,12.9009,123.617,79.93,83,20,2.53
32276,ro,bazna,46.2,24.283333,74.05,60,20,6.93
17275,in,biaora,23.866667,76.916667,86.59,65,100,0.47
17243,in,bhavani,11.45,77.68333299999999,78.85,82,93,3.94
26387,pa,chame,8.583333300000001,-79.8833333,85.39,83,40,8.05
16549,id,ternate,0.8,127.4,79.93,83,90,13.2
25878,no,holmestrand,59.488333,10.302778,75.42,56,0,6.93
2042,bg,razlog,41.8902778,23.4791667,54,74,0,7.23
25228,ng,aku,6.7081,7.3167,77.41,90,88,4.03
35426,ru,bogatyye saby,56.0102,50.4483,61.57,84,42,3.89
44781,us,massapequa,40.680555600000005,-73.4747222,80.28,57,1,11.41
20859,it,rivoli,45.066666999999995,7.516667,85.57,58,0,5.82
19968,ir,rehnan,32.684616999999996,51.601290000000006,87.8,9,20,6.93
32042,re,cilaos,-21.1166667,55.466666700000005,64.54,68,75,13.87
5004,ca,smoky lake,54.11305600000001,-112.473611,75,81,100,4.18
43570,us,wichita,37.6922222,-97.33722220000001,79.72,47,40,9.17
